hjd,mag,emag
55456.2415872,-0.16469863013698216,0.025
55456.1978772,-0.06769863013698085,0.025
55482.1879172,0.30930136986301804,0.026
55482.1443972,0.5373013698630196,0.026
56911.1598372,-0.23669863013698134,0.03
56911.1956672,-0.249698630136983,0.03
55453.1572072,-0.33069863013698253,0.024
55453.2015372,0.5903013698630168,0.023
56912.1538572,-0.29469863013698117,0.027
56912.1971972,-0.1216986301369829,0.027
56913.1520372,0.6113013698630176,0.025
56913.3628572,-0.08869863013698165,0.029
56915.1477872,0.1493013698630179,0.022
56915.1919172,0.011301369863019772,0.022
56914.1965972,0.1943013698630196,0.024
56914.1513172,0.38530136986301855,0.024
56916.1459972,-0.07969863013698131,0.023
56917.1450672,-0.21869863013698065,0.028
56917.1875672,-0.21869863013698065,0.028
56920.2029672,0.4413013698630195,0.03
56920.2420272,0.25730136986301844,0.03
56921.1432572,0.3813013698630172,0.026
56921.1853972,0.21030136986301784,0.026
56922.1369472,0.14530136986301656,0.022
56922.1791172,0.02030136986301656,0.023
56943.1556872,0.006301369863017214,0.035
56943.1205172,0.12230136986301687,0.035
56931.1229172,-0.21769863013698298,0.024
56931.2113572,-0.24769863013698057,0.024
55794.1706572,-0.11769863013698156,0.077
55794.2260372,-0.22469863013698088,0.077
55478.2221872,-0.22969863013698344,0.028
55478.2662172,-0.2526986301369831,0.029
55443.2207572,-0.20869863013698264,0.027
55443.1720372,-0.13869863013698236,0.027
56923.1355772,-0.04669863013698006,0.024
56924.1767872,-0.23569863013698011,0.023
56925.1943872,-0.2306986301369811,0.024
56925.2297472,-0.3226986301369834,0.024
56926.1731172,-0.25769863013698213,0.023
56927.1342572,0.5283013698630192,0.03
56927.1832072,0.5203013698630166,0.03
56928.1328472,0.38230136986301844,0.034
56928.1778772,0.18430136986301804,0.035
56932.1211272,-0.24569863013698168,0.028
56932.1609872,-0.26069863013698225,0.028
56940.1233172,-0.2826986301369807,0.027
56940.1506672,-0.33969863013698287,0.029
56942.1831872,0.13930136986301989,0.063
55723.3874272,-0.23869863013698023,0.028
55723.3416972,-0.18569863013698296,0.031
55751.3456872,-0.22169863013698077,0.033
55751.3018272,-0.13969863013698358,0.034
55754.2855072,-0.3346986301369803,0.029
55754.3308372,0.6353013698630186,0.025
55780.2385272,-0.2206986301369831,0.026
55780.1940872,-0.15869863013698193,0.027
55446.2182572,0.6853013698630193,0.026
55446.1742472,-0.2796986301369806,0.028
55416.1814672,-0.26369863013698236,0.14
55416.2246872,-0.21469863013698287,0.139
55425.2866272,0.4573013698630177,0.038
55425.3296972,0.2433013698630191,0.038
55422.2317672,-0.22169863013698077,0.027
55422.1878572,-0.10669863013698233,0.027
55428.2884672,-0.1976986301369834,0.025
55428.3313972,-0.22669863013698333,0.025
55439.1621972,-0.3516986301369833,0.026
55439.2153972,0.5493013698630165,0.024
55408.3683772,-0.26769863013698014,0.08
55408.3663172,-0.259698630136981,0.087
55419.2317472,0.4303013698630167,0.213
55419.1883872,0.6933013698630184,0.213
